base_currency,destination_currency,purchase_value,sale_value,date_time
USD,SDG,598.000000,603.000000,2025-04-14 18:00:00
USD,SOS,536.682420,607.263700,2025-04-15 08:19:05
USD,STD,23.600000,24.500000,2025-02-28 19:00:08
USD,SVC,8.546586,8.970078,2025-04-15 08:19:07
USD,SYP,13000.000000,13010.000000,2025-02-28 18:00:23
USD,SZL,18.710215,19.063122,2025-04-15 08:19:06
USD,TND,2.989938,3.018170,2025-04-15 08:19:06
USD,TTD,6.664637,6.929317,2025-04-15 08:19:05
USD,TWD,32.494300,32.524300,2025-04-15 16:53:19
USD,TZS,2689.985000,2690.015000,2025-04-15 08:30:27
USD,UAH,41.128112,41.663991,2025-04-15 16:53:20
USD,UGX,3629.674400,3709.079000,2025-04-15 08:19:06
USD,UYU,42.173432,43.232179,2025-04-15 08:19:07
USD,UZS,12950.014800,13011.773900,2025-04-15 08:19:07
USD,VEF,64.400700,64.407700,2025-02-28 19:00:08
USD,VND,25790.000000,25850.000000,2025-04-15 07:28:36
USD,VUV,121.000000,126.000000,2025-02-28 18:26:17
USD,XAF,601.720000,601.720000,2025-03-14 18:43:07
USD,XCD,2.688200,2.716900,2025-04-15 14:00:01
USD,XOF,573.000000,578.000000,2025-04-14 18:00:01
USD,XPF,106.500000,107.400000,2025-04-14 18:00:00
USD,YER,245.050000,245.600000,2025-04-14 18:00:00
USD,ZMK,28.410000,28.510000,2025-02-28 19:00:08
AED,USD,0.272235,0.272279,2025-04-15 10:00:22
DKK,USD,0.151146,0.151158,2025-04-15 16:53:22
HKD,USD,0.128895,0.128899,2025-04-15 16:53:22
MXN,USD,0.049688,0.049700,2025-04-15 16:53:22
NOK,USD,0.093936,0.093978,2025-04-15 16:53:21
PLN,USD,0.262541,0.263129,2025-04-15 16:53:22
RUB,USD,0.012113,0.012115,2025-04-15 16:53:20
SAR,USD,0.266175,0.266805,2025-04-15 16:49:57
SEK,USD,0.101292,0.101317,2025-04-15 16:53:23
TRY,USD,0.026260,0.026267,2025-04-15 16:53:18
TWD,USD,0.030748,0.030765,2025-04-15 16:53:21
VEF,USD,0.015530,0.015530,2025-02-28 18:59:15
ZAR,USD,0.052432,0.052514,2025-04-15 16:53:22
UYU,USD,0.023330,0.023890,2025-04-15 10:59:36
PYG,USD,0.000123,0.000127,2025-04-15 08:19:07
CLP,USD,0.001026,0.001034,2025-04-15 16:00:27
COP,USD,0.000229,0.000234,2025-04-15 16:53:10
PEN,USD,0.262485,0.272585,2025-04-15 08:19:07
NIO,USD,0.026827,0.027477,2025-04-15 08:19:07
